Date,topic_coherence,topic_coherence_diff,recon_ratio
04/01/2012,0.744901466,0.898952663,0.002581067
05/01/2012,0.644984531,0.845905602,0.004650521
06/01/2012,0.729873419,0.811648667,0.005132486
09/01/2012,0.670429611,0.847775817,0.009599855
10/01/2012,0.686795902,0.872777164,0.002024162
11/01/2012,0.718496895,0.791292548,0.004318067
12/01/2012,0.692304659,0.861695647,0.005540959
13/01/2012,0.670780849,0.836149096,0.004675176
17/01/2012,0.676234531,0.899005055,0.009481496
18/01/2012,0.64270134,0.845064044,0.001768921
19/01/2012,0.640202713,0.832518458,0.005027989
20/01/2012,0.699391747,0.883059323,0.005112864
23/01/2012,0.698390007,0.873207211,0.007394573
24/01/2012,0.69487505,0.88232851,0.003342304
25/01/2012,0.688854408,0.836113095,0.002590341
26/01/2012,0.74348774,0.884469509,0.004323621
27/01/2012,0.651157951,0.824138343,0.006766531
30/01/2012,0.757409,0.840699196,0.00728666
31/01/2012,0.667845631,0.905615509,0.00458444
01/02/2012,0.663271332,0.842053235,0.006601017
02/02/2012,0.65708704,0.836737037,0.00492432
03/02/2012,0.729683304,0.834358394,0.005070128
06/02/2012,0.646409512,0.846331418,0.008563654
07/02/2012,0.698731136,0.817079723,0.000521682
08/02/2012,0.669921494,0.84659785,0.006816387
09/02/2012,0.715121555,0.841560543,0.005435244
10/02/2012,0.734386063,0.899389088,0.00516347
13/02/2012,0.692968035,0.907563508,0.009692502
14/02/2012,0.62433424,0.838951468,0.000581779
15/02/2012,0.748769474,0.827829361,0.00684441
16/02/2012,0.754900837,0.881618202,0.00560249
17/02/2012,0.690968323,0.855767071,0.007447738
21/02/2012,0.684988976,0.896013439,0.0086313
22/02/2012,0.632399559,0.894434929,0.002075814
23/02/2012,0.732349777,0.777095437,0.004512976
24/02/2012,0.737199402,0.802002251,0.00398531
27/02/2012,0.789529228,0.829336941,0.009049378
28/02/2012,0.694547844,0.890363395,0.00214936
29/02/2012,0.679498863,0.84705162,0.004697188
01/03/2012,0.688055897,0.828178108,0.00291914
02/03/2012,0.7633461,0.836395621,0.005704224
05/03/2012,0.736862993,0.888314366,0.009269233
06/03/2012,0.675224113,0.893343747,0.000433147
07/03/2012,0.779385757,0.839358628,0.004591351
08/03/2012,0.683067417,0.801597118,0.002159076
09/03/2012,0.717559576,0.864867806,0.006040798
12/03/2012,0.751239729,0.890494227,0.009208899
13/03/2012,0.72454896,0.859797001,0.002716878
14/03/2012,0.680815029,0.839653373,0.003917661
15/03/2012,0.753236675,0.849608064,0.005021995
16/03/2012,0.658263445,0.876513779,0.005301799
19/03/2012,0.683289146,0.851606488,0.00959283
20/03/2012,0.699289179,0.880172133,0.002291081
21/03/2012,0.640408134,0.840439618,0.005063433
22/03/2012,0.71685276,0.827165604,0.004712427
23/03/2012,0.757175589,0.85578382,0.005413095
26/03/2012,0.758072519,0.895774364,0.007951113
27/03/2012,0.736011887,0.897915065,0.003850669
28/03/2012,0.736278534,0.904836774,0.005949103
29/03/2012,0.745571709,0.883961678,0.007343484
30/03/2012,0.735593796,0.874687076,0.005211176
02/04/2012,0.810150337,0.880709052,0.010031755
